"model.id","tissue","tissue.name","patient.id","drug","tested"
"X.3846.CL57","X.3846.CL57","PDAC","Pancreatic Ductal Carcinoma","X-3846","CLR457","TRUE"
"X.3846.fiab","X.3846.fiab","PDAC","Pancreatic Ductal Carcinoma","X-3846","figitumumab","TRUE"
"X.3846.fiab.biib","X.3846.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-3846","figitumumab + binimetinib","TRUE"
"X.3846.gepk","X.3846.gepk","PDAC","Pancreatic Ductal Carcinoma","X-3846","gemcitabine-50mpk","TRUE"
"X.3846.HD01","X.3846.HD01","PDAC","Pancreatic Ductal Carcinoma","X-3846","HDM201","TRUE"
"X.3846.IN24","X.3846.IN24","PDAC","Pancreatic Ductal Carcinoma","X-3846","INC424","TRUE"
"X.3846.IN24.biib","X.3846.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-3846","INC424 + binimetinib","TRUE"
"X.3846.LK36","X.3846.LK36","PDAC","Pancreatic Ductal Carcinoma","X-3846","LKA136","TRUE"
"X.3846.trib","X.3846.trib","PDAC","Pancreatic Ductal Carcinoma","X-3846","trametinib","TRUE"
"X.3846.uned","X.3846.uned","PDAC","Pancreatic Ductal Carcinoma","X-3846","untreated","TRUE"
"X.3846.WN74","X.3846.WN74","PDAC","Pancreatic Ductal Carcinoma","X-3846","WNT974","TRUE"
"X.3898.abne","X.3898.abne","PDAC","Pancreatic Ductal Carcinoma","X-3898","abraxane","TRUE"
"X.3898.biib","X.3898.biib","PDAC","Pancreatic Ductal Carcinoma","X-3898","binimetinib","TRUE"
"X.3898.bipk","X.3898.bipk","PDAC","Pancreatic Ductal Carcinoma","X-3898","binimetinib-3.5mpk","TRUE"
"X.3898.BK20","X.3898.BK20","PDAC","Pancreatic Ductal Carcinoma","X-3898","BKM120","TRUE"
"X.3898.BK20.biib","X.3898.BK20.biib","PDAC","Pancreatic Ductal Carcinoma","X-3898","BKM120 + binimetinib","TRUE"
"X.3898.BK20.LD25","X.3898.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-3898","BKM120 + LDE225","TRUE"
"X.3898.BY19","X.3898.BY19","PDAC","Pancreatic Ductal Carcinoma","X-3898","BYL719","TRUE"
"X.3898.BY19.LJ16","X.3898.BY19.LJ16","PDAC","Pancreatic Ductal Carcinoma","X-3898","BYL719 + LJM716","TRUE"
"X.3898.fiab","X.3898.fiab","PDAC","Pancreatic Ductal Carcinoma","X-3898","figitumumab","TRUE"
"X.3898.fiab.biib","X.3898.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-3898","figitumumab + binimetinib","TRUE"
"X.3898.gepk","X.3898.gepk","PDAC","Pancreatic Ductal Carcinoma","X-3898","gemcitabine-50mpk","TRUE"
"X.3898.HD01","X.3898.HD01","PDAC","Pancreatic Ductal Carcinoma","X-3898","HDM201","TRUE"
"X.3898.IN24","X.3898.IN24","PDAC","Pancreatic Ductal Carcinoma","X-3898","INC424","TRUE"
"X.3898.IN24.biib","X.3898.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-3898","INC424 + binimetinib","TRUE"
"X.3898.LE11","X.3898.LE11","PDAC","Pancreatic Ductal Carcinoma","X-3898","LEE011","TRUE"
"X.3898.LK36","X.3898.LK36","PDAC","Pancreatic Ductal Carcinoma","X-3898","LKA136","TRUE"
"X.3898.trib","X.3898.trib","PDAC","Pancreatic Ductal Carcinoma","X-3898","trametinib","TRUE"
"X.3898.uned","X.3898.uned","PDAC","Pancreatic Ductal Carcinoma","X-3898","untreated","TRUE"
"X.3898.WN74","X.3898.WN74","PDAC","Pancreatic Ductal Carcinoma","X-3898","WNT974","TRUE"
"X.3947.abne","X.3947.abne","PDAC","Pancreatic Ductal Carcinoma","X-3947","abraxane","TRUE"
"X.3947.biib","X.3947.biib","PDAC","Pancreatic Ductal Carcinoma","X-3947","binimetinib","TRUE"
"X.3947.bipk","X.3947.bipk","PDAC","Pancreatic Ductal Carcinoma","X-3947","binimetinib-3.5mpk","TRUE"
"X.3947.BK20","X.3947.BK20","PDAC","Pancreatic Ductal Carcinoma","X-3947","BKM120","TRUE"
"X.3947.BK20.biib","X.3947.BK20.biib","PDAC","Pancreatic Ductal Carcinoma","X-3947","BKM120 + binimetinib","TRUE"
"X.3947.BK20.LD25","X.3947.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-3947","BKM120 + LDE225","TRUE"
"X.3947.BY19","X.3947.BY19","PDAC","Pancreatic Ductal Carcinoma","X-3947","BYL719","TRUE"
"X.3947.BY19.LJ16","X.3947.BY19.LJ16","PDAC","Pancreatic Ductal Carcinoma","X-3947","BYL719 + LJM716","TRUE"
"X.3947.CL57","X.3947.CL57","PDAC","Pancreatic Ductal Carcinoma","X-3947","CLR457","TRUE"
"X.3947.fiab","X.3947.fiab","PDAC","Pancreatic Ductal Carcinoma","X-3947","figitumumab","TRUE"
"X.3947.fiab.biib","X.3947.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-3947","figitumumab + binimetinib","TRUE"
"X.3947.gepk","X.3947.gepk","PDAC","Pancreatic Ductal Carcinoma","X-3947","gemcitabine-50mpk","TRUE"
"X.3947.HD01","X.3947.HD01","PDAC","Pancreatic Ductal Carcinoma","X-3947","HDM201","TRUE"
"X.3947.IN24","X.3947.IN24","PDAC","Pancreatic Ductal Carcinoma","X-3947","INC424","TRUE"
"X.3947.IN24.biib","X.3947.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-3947","INC424 + binimetinib","TRUE"
"X.3947.LE11","X.3947.LE11","PDAC","Pancreatic Ductal Carcinoma","X-3947","LEE011","TRUE"
"X.3947.LK36","X.3947.LK36","PDAC","Pancreatic Ductal Carcinoma","X-3947","LKA136","TRUE"
"X.3947.trib","X.3947.trib","PDAC","Pancreatic Ductal Carcinoma","X-3947","trametinib","TRUE"
"X.3947.uned","X.3947.uned","PDAC","Pancreatic Ductal Carcinoma","X-3947","untreated","TRUE"
"X.3947.WN74","X.3947.WN74","PDAC","Pancreatic Ductal Carcinoma","X-3947","WNT974","TRUE"
"X.3990.abne","X.3990.abne","PDAC","Pancreatic Ductal Carcinoma","X-3990","abraxane","TRUE"
"X.3990.biib","X.3990.biib","PDAC","Pancreatic Ductal Carcinoma","X-3990","binimetinib","TRUE"
"X.3990.bipk","X.3990.bipk","PDAC","Pancreatic Ductal Carcinoma","X-3990","binimetinib-3.5mpk","TRUE"
"X.3990.BK20","X.3990.BK20","PDAC","Pancreatic Ductal Carcinoma","X-3990","BKM120","TRUE"
"X.3990.BK20.biib","X.3990.BK20.biib","PDAC","Pancreatic Ductal Carcinoma","X-3990","BKM120 + binimetinib","TRUE"
"X.3990.BK20.LD25","X.3990.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-3990","BKM120 + LDE225","TRUE"
"X.3990.BY19","X.3990.BY19","PDAC","Pancreatic Ductal Carcinoma","X-3990","BYL719","TRUE"
"X.3990.BY19.LJ16","X.3990.BY19.LJ16","PDAC","Pancreatic Ductal Carcinoma","X-3990","BYL719 + LJM716","TRUE"
"X.3990.CL57","X.3990.CL57","PDAC","Pancreatic Ductal Carcinoma","X-3990","CLR457","TRUE"
"X.3990.fiab","X.3990.fiab","PDAC","Pancreatic Ductal Carcinoma","X-3990","figitumumab","TRUE"
"X.3990.fiab.biib","X.3990.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-3990","figitumumab + binimetinib","TRUE"
"X.3990.gepk","X.3990.gepk","PDAC","Pancreatic Ductal Carcinoma","X-3990","gemcitabine-50mpk","TRUE"
"X.3990.HD01","X.3990.HD01","PDAC","Pancreatic Ductal Carcinoma","X-3990","HDM201","TRUE"
"X.3990.IN24","X.3990.IN24","PDAC","Pancreatic Ductal Carcinoma","X-3990","INC424","TRUE"
"X.3990.IN24.biib","X.3990.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-3990","INC424 + binimetinib","TRUE"
"X.3990.LE11","X.3990.LE11","PDAC","Pancreatic Ductal Carcinoma","X-3990","LEE011","TRUE"
"X.3990.LK36","X.3990.LK36","PDAC","Pancreatic Ductal Carcinoma","X-3990","LKA136","TRUE"
"X.3990.trib","X.3990.trib","PDAC","Pancreatic Ductal Carcinoma","X-3990","trametinib","TRUE"
"X.3990.uned","X.3990.uned","PDAC","Pancreatic Ductal Carcinoma","X-3990","untreated","TRUE"
"X.3990.WN74","X.3990.WN74","PDAC","Pancreatic Ductal Carcinoma","X-3990","WNT974","TRUE"
"X.4015.abne","X.4015.abne","PDAC","Pancreatic Ductal Carcinoma","X-4015","abraxane","TRUE"
"X.4015.biib","X.4015.biib","PDAC","Pancreatic Ductal Carcinoma","X-4015","binimetinib","TRUE"
"X.4015.BK20.biib","X.4015.BK20.biib","PDAC","Pancreatic Ductal Carcinoma","X-4015","BKM120 + binimetinib","TRUE"
"X.4015.BK20.LD25","X.4015.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-4015","BKM120 + LDE225","TRUE"
"X.4015.BY19","X.4015.BY19","PDAC","Pancreatic Ductal Carcinoma","X-4015","BYL719","TRUE"
"X.4015.BY19.LJ16","X.4015.BY19.LJ16","PDAC","Pancreatic Ductal Carcinoma","X-4015","BYL719 + LJM716","TRUE"
"X.4015.CL57","X.4015.CL57","PDAC","Pancreatic Ductal Carcinoma","X-4015","CLR457","TRUE"
"X.4015.fiab","X.4015.fiab","PDAC","Pancreatic Ductal Carcinoma","X-4015","figitumumab","TRUE"
"X.4015.fiab.biib","X.4015.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-4015","figitumumab + binimetinib","TRUE"
"X.4015.gepk","X.4015.gepk","PDAC","Pancreatic Ductal Carcinoma","X-4015","gemcitabine-50mpk","TRUE"
"X.4015.HD01","X.4015.HD01","PDAC","Pancreatic Ductal Carcinoma","X-4015","HDM201","TRUE"
"X.4015.IN24","X.4015.IN24","PDAC","Pancreatic Ductal Carcinoma","X-4015","INC424","TRUE"
"X.4015.IN24.biib","X.4015.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-4015","INC424 + binimetinib","TRUE"
"X.4015.LK36","X.4015.LK36","PDAC","Pancreatic Ductal Carcinoma","X-4015","LKA136","TRUE"
"X.4015.uned","X.4015.uned","PDAC","Pancreatic Ductal Carcinoma","X-4015","untreated","TRUE"
"X.4015.WN74","X.4015.WN74","PDAC","Pancreatic Ductal Carcinoma","X-4015","WNT974","TRUE"
"X.4018.abne","X.4018.abne","PDAC","Pancreatic Ductal Carcinoma","X-4018","abraxane","TRUE"
"X.4018.biib","X.4018.biib","PDAC","Pancreatic Ductal Carcinoma","X-4018","binimetinib","TRUE"
"X.4018.bipk","X.4018.bipk","PDAC","Pancreatic Ductal Carcinoma","X-4018","binimetinib-3.5mpk","TRUE"
"X.4018.BK20","X.4018.BK20","PDAC","Pancreatic Ductal Carcinoma","X-4018","BKM120","TRUE"
"X.4018.BK20.biib","X.4018.BK20.biib","PDAC","Pancreatic Ductal Carcinoma","X-4018","BKM120 + binimetinib","TRUE"
"X.4018.BK20.LD25","X.4018.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-4018","BKM120 + LDE225","TRUE"
"X.4018.BY19","X.4018.BY19","PDAC","Pancreatic Ductal Carcinoma","X-4018","BYL719","TRUE"
"X.4018.CL57","X.4018.CL57","PDAC","Pancreatic Ductal Carcinoma","X-4018","CLR457","TRUE"
"X.4018.fiab","X.4018.fiab","PDAC","Pancreatic Ductal Carcinoma","X-4018","figitumumab","TRUE"
"X.4018.fiab.biib","X.4018.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-4018","figitumumab + binimetinib","TRUE"
"X.4018.gepk","X.4018.gepk","PDAC","Pancreatic Ductal Carcinoma","X-4018","gemcitabine-50mpk","TRUE"
"X.4018.HD01","X.4018.HD01","PDAC","Pancreatic Ductal Carcinoma","X-4018","HDM201","TRUE"
"X.4018.IN24.biib","X.4018.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-4018","INC424 + binimetinib","TRUE"
"X.4018.LE11","X.4018.LE11","PDAC","Pancreatic Ductal Carcinoma","X-4018","LEE011","TRUE"
"X.4018.LK36","X.4018.LK36","PDAC","Pancreatic Ductal Carcinoma","X-4018","LKA136","TRUE"
"X.4018.trib","X.4018.trib","PDAC","Pancreatic Ductal Carcinoma","X-4018","trametinib","TRUE"
"X.4018.uned","X.4018.uned","PDAC","Pancreatic Ductal Carcinoma","X-4018","untreated","TRUE"
"X.4018.WN74","X.4018.WN74","PDAC","Pancreatic Ductal Carcinoma","X-4018","WNT974","TRUE"
"X.4215.abne","X.4215.abne","PDAC","Pancreatic Ductal Carcinoma","X-4215","abraxane","TRUE"
"X.4215.biib","X.4215.biib","PDAC","Pancreatic Ductal Carcinoma","X-4215","binimetinib","TRUE"
"X.4215.bipk","X.4215.bipk","PDAC","Pancreatic Ductal Carcinoma","X-4215","binimetinib-3.5mpk","TRUE"
"X.4215.BK20","X.4215.BK20","PDAC","Pancreatic Ductal Carcinoma","X-4215","BKM120","TRUE"
"X.4215.BK20.LD25","X.4215.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-4215","BKM120 + LDE225","TRUE"
"X.4215.BY19","X.4215.BY19","PDAC","Pancreatic Ductal Carcinoma","X-4215","BYL719","TRUE"
"X.4215.BY19.LJ16","X.4215.BY19.LJ16","PDAC","Pancreatic Ductal Carcinoma","X-4215","BYL719 + LJM716","TRUE"
"X.4215.CL57","X.4215.CL57","PDAC","Pancreatic Ductal Carcinoma","X-4215","CLR457","TRUE"
"X.4215.fiab","X.4215.fiab","PDAC","Pancreatic Ductal Carcinoma","X-4215","figitumumab","TRUE"
"X.4215.fiab.biib","X.4215.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-4215","figitumumab + binimetinib","TRUE"
"X.4215.gepk","X.4215.gepk","PDAC","Pancreatic Ductal Carcinoma","X-4215","gemcitabine-50mpk","TRUE"
"X.4215.HD01","X.4215.HD01","PDAC","Pancreatic Ductal Carcinoma","X-4215","HDM201","TRUE"
"X.4215.IN24","X.4215.IN24","PDAC","Pancreatic Ductal Carcinoma","X-4215","INC424","TRUE"
"X.4215.IN24.biib","X.4215.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-4215","INC424 + binimetinib","TRUE"
"X.4215.LE11","X.4215.LE11","PDAC","Pancreatic Ductal Carcinoma","X-4215","LEE011","TRUE"
"X.4215.LK36","X.4215.LK36","PDAC","Pancreatic Ductal Carcinoma","X-4215","LKA136","TRUE"
"X.4215.trib","X.4215.trib","PDAC","Pancreatic Ductal Carcinoma","X-4215","trametinib","TRUE"
"X.4215.uned","X.4215.uned","PDAC","Pancreatic Ductal Carcinoma","X-4215","untreated","TRUE"
"X.4215.WN74","X.4215.WN74","PDAC","Pancreatic Ductal Carcinoma","X-4215","WNT974","TRUE"
"X.4226.abne","X.4226.abne","PDAC","Pancreatic Ductal Carcinoma","X-4226","abraxane","TRUE"
"X.4226.biib","X.4226.biib","PDAC","Pancreatic Ductal Carcinoma","X-4226","binimetinib","TRUE"
"X.4226.bipk","X.4226.bipk","PDAC","Pancreatic Ductal Carcinoma","X-4226","binimetinib-3.5mpk","TRUE"
"X.4226.BK20","X.4226.BK20","PDAC","Pancreatic Ductal Carcinoma","X-4226","BKM120","TRUE"
"X.4226.BK20.biib","X.4226.BK20.biib","PDAC","Pancreatic Ductal Carcinoma","X-4226","BKM120 + binimetinib","TRUE"
"X.4226.BK20.LD25","X.4226.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-4226","BKM120 + LDE225","TRUE"
"X.4226.BY19","X.4226.BY19","PDAC","Pancreatic Ductal Carcinoma","X-4226","BYL719","TRUE"
"X.4226.BY19.LJ16","X.4226.BY19.LJ16","PDAC","Pancreatic Ductal Carcinoma","X-4226","BYL719 + LJM716","TRUE"
"X.4226.CL57","X.4226.CL57","PDAC","Pancreatic Ductal Carcinoma","X-4226","CLR457","TRUE"
"X.4226.fiab","X.4226.fiab","PDAC","Pancreatic Ductal Carcinoma","X-4226","figitumumab","TRUE"
"X.4226.fiab.biib","X.4226.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-4226","figitumumab + binimetinib","TRUE"
"X.4226.gepk","X.4226.gepk","PDAC","Pancreatic Ductal Carcinoma","X-4226","gemcitabine-50mpk","TRUE"
"X.4226.HD01","X.4226.HD01","PDAC","Pancreatic Ductal Carcinoma","X-4226","HDM201","TRUE"
"X.4226.IN24","X.4226.IN24","PDAC","Pancreatic Ductal Carcinoma","X-4226","INC424","TRUE"
"X.4226.IN24.biib","X.4226.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-4226","INC424 + binimetinib","TRUE"
"X.4226.LE11","X.4226.LE11","PDAC","Pancreatic Ductal Carcinoma","X-4226","LEE011","TRUE"
"X.4226.LK36","X.4226.LK36","PDAC","Pancreatic Ductal Carcinoma","X-4226","LKA136","TRUE"
"X.4226.trib","X.4226.trib","PDAC","Pancreatic Ductal Carcinoma","X-4226","trametinib","TRUE"
"X.4226.uned","X.4226.uned","PDAC","Pancreatic Ductal Carcinoma","X-4226","untreated","TRUE"
"X.4226.WN74","X.4226.WN74","PDAC","Pancreatic Ductal Carcinoma","X-4226","WNT974","TRUE"
"X.4316.abne","X.4316.abne","PDAC","Pancreatic Ductal Carcinoma","X-4316","abraxane","TRUE"
"X.4316.biib","X.4316.biib","PDAC","Pancreatic Ductal Carcinoma","X-4316","binimetinib","TRUE"
"X.4316.bipk","X.4316.bipk","PDAC","Pancreatic Ductal Carcinoma","X-4316","binimetinib-3.5mpk","TRUE"
"X.4316.BK20","X.4316.BK20","PDAC","Pancreatic Ductal Carcinoma","X-4316","BKM120","TRUE"
"X.4316.BK20.LD25","X.4316.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-4316","BKM120 + LDE225","TRUE"
"X.4316.BY19","X.4316.BY19","PDAC","Pancreatic Ductal Carcinoma","X-4316","BYL719","TRUE"
"X.4316.BY19.LJ16","X.4316.BY19.LJ16","PDAC","Pancreatic Ductal Carcinoma","X-4316","BYL719 + LJM716","TRUE"
"X.4316.CL57","X.4316.CL57","PDAC","Pancreatic Ductal Carcinoma","X-4316","CLR457","TRUE"
"X.4316.fiab","X.4316.fiab","PDAC","Pancreatic Ductal Carcinoma","X-4316","figitumumab","TRUE"
"X.4316.fiab.biib","X.4316.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-4316","figitumumab + binimetinib","TRUE"
"X.4316.gepk","X.4316.gepk","PDAC","Pancreatic Ductal Carcinoma","X-4316","gemcitabine-50mpk","TRUE"
"X.4316.HD01","X.4316.HD01","PDAC","Pancreatic Ductal Carcinoma","X-4316","HDM201","TRUE"
"X.4316.IN24","X.4316.IN24","PDAC","Pancreatic Ductal Carcinoma","X-4316","INC424","TRUE"
"X.4316.LE11","X.4316.LE11","PDAC","Pancreatic Ductal Carcinoma","X-4316","LEE011","TRUE"
"X.4316.LK36","X.4316.LK36","PDAC","Pancreatic Ductal Carcinoma","X-4316","LKA136","TRUE"
"X.4316.trib","X.4316.trib","PDAC","Pancreatic Ductal Carcinoma","X-4316","trametinib","TRUE"
"X.4316.uned","X.4316.uned","PDAC","Pancreatic Ductal Carcinoma","X-4316","untreated","TRUE"
"X.4316.WN74","X.4316.WN74","PDAC","Pancreatic Ductal Carcinoma","X-4316","WNT974","TRUE"
"X.4377.abne","X.4377.abne","PDAC","Pancreatic Ductal Carcinoma","X-4377","abraxane","TRUE"
"X.4377.biib","X.4377.biib","PDAC","Pancreatic Ductal Carcinoma","X-4377","binimetinib","TRUE"
"X.4377.bipk","X.4377.bipk","PDAC","Pancreatic Ductal Carcinoma","X-4377","binimetinib-3.5mpk","TRUE"
"X.4377.BK20","X.4377.BK20","PDAC","Pancreatic Ductal Carcinoma","X-4377","BKM120","TRUE"
"X.4377.BK20.biib","X.4377.BK20.biib","PDAC","Pancreatic Ductal Carcinoma","X-4377","BKM120 + binimetinib","TRUE"
"X.4377.BK20.LD25","X.4377.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-4377","BKM120 + LDE225","TRUE"
"X.4377.BY19","X.4377.BY19","PDAC","Pancreatic Ductal Carcinoma","X-4377","BYL719","TRUE"
"X.4377.CL57","X.4377.CL57","PDAC","Pancreatic Ductal Carcinoma","X-4377","CLR457","TRUE"
"X.4377.fiab","X.4377.fiab","PDAC","Pancreatic Ductal Carcinoma","X-4377","figitumumab","TRUE"
"X.4377.fiab.biib","X.4377.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-4377","figitumumab + binimetinib","TRUE"
"X.4377.gepk","X.4377.gepk","PDAC","Pancreatic Ductal Carcinoma","X-4377","gemcitabine-50mpk","TRUE"
"X.4377.HD01","X.4377.HD01","PDAC","Pancreatic Ductal Carcinoma","X-4377","HDM201","TRUE"
"X.4377.IN24","X.4377.IN24","PDAC","Pancreatic Ductal Carcinoma","X-4377","INC424","TRUE"
"X.4377.IN24.biib","X.4377.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-4377","INC424 + binimetinib","TRUE"
"X.4377.LE11","X.4377.LE11","PDAC","Pancreatic Ductal Carcinoma","X-4377","LEE011","TRUE"
"X.4377.LK36","X.4377.LK36","PDAC","Pancreatic Ductal Carcinoma","X-4377","LKA136","TRUE"
"X.4377.trib","X.4377.trib","PDAC","Pancreatic Ductal Carcinoma","X-4377","trametinib","TRUE"
"X.4377.WN74","X.4377.WN74","PDAC","Pancreatic Ductal Carcinoma","X-4377","WNT974","TRUE"
"X.4378.abne","X.4378.abne","PDAC","Pancreatic Ductal Carcinoma","X-4378","abraxane","TRUE"
"X.4378.biib","X.4378.biib","PDAC","Pancreatic Ductal Carcinoma","X-4378","binimetinib","TRUE"
"X.4378.bipk","X.4378.bipk","PDAC","Pancreatic Ductal Carcinoma","X-4378","binimetinib-3.5mpk","TRUE"
"X.4378.BK20","X.4378.BK20","PDAC","Pancreatic Ductal Carcinoma","X-4378","BKM120","TRUE"
"X.4378.BK20.biib","X.4378.BK20.biib","PDAC","Pancreatic Ductal Carcinoma","X-4378","BKM120 + binimetinib","TRUE"
"X.4378.BK20.LD25","X.4378.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-4378","BKM120 + LDE225","TRUE"
"X.4378.BY19","X.4378.BY19","PDAC","Pancreatic Ductal Carcinoma","X-4378","BYL719","TRUE"
"X.4378.BY19.LJ16","X.4378.BY19.LJ16","PDAC","Pancreatic Ductal Carcinoma","X-4378","BYL719 + LJM716","TRUE"
"X.4378.CL57","X.4378.CL57","PDAC","Pancreatic Ductal Carcinoma","X-4378","CLR457","TRUE"
"X.4378.fiab","X.4378.fiab","PDAC","Pancreatic Ductal Carcinoma","X-4378","figitumumab","TRUE"
"X.4378.fiab.biib","X.4378.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-4378","figitumumab + binimetinib","TRUE"
"X.4378.gepk","X.4378.gepk","PDAC","Pancreatic Ductal Carcinoma","X-4378","gemcitabine-50mpk","TRUE"
"X.4378.HD01","X.4378.HD01","PDAC","Pancreatic Ductal Carcinoma","X-4378","HDM201","TRUE"
"X.4378.IN24","X.4378.IN24","PDAC","Pancreatic Ductal Carcinoma","X-4378","INC424","TRUE"
"X.4378.IN24.biib","X.4378.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-4378","INC424 + binimetinib","TRUE"
"X.4378.LE11","X.4378.LE11","PDAC","Pancreatic Ductal Carcinoma","X-4378","LEE011","TRUE"
"X.4378.LK36","X.4378.LK36","PDAC","Pancreatic Ductal Carcinoma","X-4378","LKA136","TRUE"
"X.4378.trib","X.4378.trib","PDAC","Pancreatic Ductal Carcinoma","X-4378","trametinib","TRUE"
"X.4378.uned","X.4378.uned","PDAC","Pancreatic Ductal Carcinoma","X-4378","untreated","TRUE"
"X.4378.WN74","X.4378.WN74","PDAC","Pancreatic Ductal Carcinoma","X-4378","WNT974","TRUE"
"X.4439.abne","X.4439.abne","PDAC","Pancreatic Ductal Carcinoma","X-4439","abraxane","TRUE"
"X.4439.biib","X.4439.biib","PDAC","Pancreatic Ductal Carcinoma","X-4439","binimetinib","TRUE"
"X.4439.bipk","X.4439.bipk","PDAC","Pancreatic Ductal Carcinoma","X-4439","binimetinib-3.5mpk","TRUE"
"X.4439.BK20","X.4439.BK20","PDAC","Pancreatic Ductal Carcinoma","X-4439","BKM120","TRUE"
"X.4439.BK20.biib","X.4439.BK20.biib","PDAC","Pancreatic Ductal Carcinoma","X-4439","BKM120 + binimetinib","TRUE"
"X.4439.BK20.LD25","X.4439.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-4439","BKM120 + LDE225","TRUE"
"X.4439.BY19","X.4439.BY19","PDAC","Pancreatic Ductal Carcinoma","X-4439","BYL719","TRUE"
"X.4439.BY19.LJ16","X.4439.BY19.LJ16","PDAC","Pancreatic Ductal Carcinoma","X-4439","BYL719 + LJM716","TRUE"
"X.4439.CL57","X.4439.CL57","PDAC","Pancreatic Ductal Carcinoma","X-4439","CLR457","TRUE"
"X.4439.fiab","X.4439.fiab","PDAC","Pancreatic Ductal Carcinoma","X-4439","figitumumab","TRUE"
"X.4439.fiab.biib","X.4439.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-4439","figitumumab + binimetinib","TRUE"
"X.4439.gepk","X.4439.gepk","PDAC","Pancreatic Ductal Carcinoma","X-4439","gemcitabine-50mpk","TRUE"
"X.4439.HD01","X.4439.HD01","PDAC","Pancreatic Ductal Carcinoma","X-4439","HDM201","TRUE"
"X.4439.IN24","X.4439.IN24","PDAC","Pancreatic Ductal Carcinoma","X-4439","INC424","TRUE"
"X.4439.IN24.biib","X.4439.IN24.biib","PDAC","Pancreatic Ductal Carcinoma","X-4439","INC424 + binimetinib","TRUE"
"X.4439.LE11","X.4439.LE11","PDAC","Pancreatic Ductal Carcinoma","X-4439","LEE011","TRUE"
"X.4439.LK36","X.4439.LK36","PDAC","Pancreatic Ductal Carcinoma","X-4439","LKA136","TRUE"
"X.4439.trib","X.4439.trib","PDAC","Pancreatic Ductal Carcinoma","X-4439","trametinib","TRUE"
"X.4439.uned","X.4439.uned","PDAC","Pancreatic Ductal Carcinoma","X-4439","untreated","TRUE"
"X.4439.WN74","X.4439.WN74","PDAC","Pancreatic Ductal Carcinoma","X-4439","WNT974","TRUE"
"X.4649.abne","X.4649.abne","PDAC","Pancreatic Ductal Carcinoma","X-4649","abraxane","TRUE"
"X.4649.biib","X.4649.biib","PDAC","Pancreatic Ductal Carcinoma","X-4649","binimetinib","TRUE"
"X.4649.bipk","X.4649.bipk","PDAC","Pancreatic Ductal Carcinoma","X-4649","binimetinib-3.5mpk","TRUE"
"X.4649.BK20","X.4649.BK20","PDAC","Pancreatic Ductal Carcinoma","X-4649","BKM120","TRUE"
"X.4649.BK20.biib","X.4649.BK20.biib","PDAC","Pancreatic Ductal Carcinoma","X-4649","BKM120 + binimetinib","TRUE"
"X.4649.BK20.LD25","X.4649.BK20.LD25","PDAC","Pancreatic Ductal Carcinoma","X-4649","BKM120 + LDE225","TRUE"
"X.4649.BY19","X.4649.BY19","PDAC","Pancreatic Ductal Carcinoma","X-4649","BYL719","TRUE"
"X.4649.BY19.LJ16","X.4649.BY19.LJ16","PDAC","Pancreatic Ductal Carcinoma","X-4649","BYL719 + LJM716","TRUE"
"X.4649.CL57","X.4649.CL57","PDAC","Pancreatic Ductal Carcinoma","X-4649","CLR457","TRUE"
"X.4649.fiab","X.4649.fiab","PDAC","Pancreatic Ductal Carcinoma","X-4649","figitumumab","TRUE"
"X.4649.fiab.biib","X.4649.fiab.biib","PDAC","Pancreatic Ductal Carcinoma","X-4649","figitumumab + binimetinib","TRUE"
